GeneSymbol,GSM1498849,GSM1498850,GSM1498851,GSM1498852,GSM1498853,GSM1498854,GSM1498855,GSM1498856
SF3A1,8.852852,9.63243825,9.619032,8.8108065,9.2845555,9.29880525,9.530113,9.53367
SF3A2,7.9273405,7.3717275,7.3965545,7.9242096,7.136865,7.1512184,7.041054,6.9687815
SF3A3,7.91021,9.5693245,9.551231,7.900881,9.113321,9.109246,9.830704,9.856782
SF3B1,9.4214972,9.74275765,9.7299285,9.43300335,10.49791625,10.4980745,10.560702,10.567177
SF3B2,11.600343,11.456812,11.45581,11.6043005,11.913014,11.911326,12.030498,12.024406
SF3B3,7.608297,6.215319,6.4772043,7.621514,7.0465207,7.0987654,6.2543306,6.297086
SF3B4,9.958911,9.778645,9.788744,9.973774,9.342027,9.3138,8.947654,8.826938
SF3B5,15.435514,15.008104,15.028689,15.428588,14.889912,14.881264,15.263436,15.248604
SF3B6,14.418367,14.446496,14.439058,14.414576,14.169541,14.218893,14.855447,14.88738
SFI1,4.72417675,6.1563317,6.20979115,4.448652,5.0688983,5.0711918,4.4337967,4.86385175
SFMBT2,4.3831277,4.7192926,4.6616483,4.2951627,5.141326,4.9747167,4.7411,4.4842796
SFN,10.1390877,11.110235,11.02835325,10.2112628,11.9515775,11.9733402,10.16361015,9.9791395
SFPQ,9.380783,10.75353,10.859257,9.363149,10.378475,10.388847,10.963719,10.981616
SFR1,5.18272735,5.573833,5.58039965,5.3564198,6.15152435,6.15823675,5.4093655,5.21988895
SFRP1,4.761589,3.4627175,2.990831,4.2300134,3.5573955,3.7349594,3.263614,3.16581
SFRP2,4.566621,13.395015,13.39776,4.674434,13.109734,13.14186,15.92692,15.91935
SFRP4,9.713279,9.070173,9.080451,9.742315,8.794685,8.838101,8.430347,8.425234
SFRP5,6.2063675,4.5013185,4.2438717,6.306526,5.215126,5.21696,4.346756,4.5050445
SFSWAP,10.046604,9.399531,9.437023,9.970303,9.103714,9.119076,9.680964,9.641131
SFT2D1,11.936208,12.527472,12.561483,11.924318,12.077121,12.079102,12.154129,12.141455
