Gene1,Gene2,p_value
DDX20,SNUPN,2.26425010983721e-05
F2,RAF1,2.4476973977932778e-05
CDC14A,PLK1,2.4565028019572708e-05
PPP2R1A,RAF1,2.4632276079016172e-05
KIF14,KIF18A,2.5285286955824943e-05
PSMC1,RPL18A,2.6836914828080723e-05
ANLN,KIF14,2.7336838067645155e-05
HSPA4,RAF1,2.7337300588637768e-05
RPL10L,RPS24,2.767684955309662e-05
HJURP,KIF14,2.776440594545607e-05
PSMC1,RBL2,2.8273772531371524e-05
MRPL11,RPS5,2.86956527733511e-05
DDX20,NUP98,2.917900652175888e-05
PSMC1,PSMC3,3.101184209826677e-05
FAM83A,RAF1,3.1577750887474824e-05
PLK1,TK1,3.291982645183507e-05
F2,PRKAR1B,3.3505566513329695e-05
ITGB1,PRKAR1B,3.3576266399133234e-05
MLC1,PRKAR1B,3.3803718854295386e-05
PRKACG,PRKAR1B,3.5021189027527554e-05
KIF14,MKI67,3.504714909606883e-05
HSPA8,RAF1,3.519408474711455e-05
ADCY8,PRKAR1B,3.528504033106136e-05
PLK1,RAB1A,3.608026098056094e-05
RAF1,UBC,3.669846117787732e-05
RPL18,WDR31,3.6979312158097744e-05
RAF1,UBB,3.947665255383858e-05
NFKBIA,PSMC1,3.984910596862527e-05
RPL19,RPS24,4.1786243835584715e-05
CDC37,RAF1,4.1867708949873976e-05
HSP90AB1,RAF1,4.399964295605763e-05
RPL11,RPS24,4.401745094438654e-05
RPS18,RPS24,4.4574221574663935e-05
PRKACG,RAF1,4.482136939325613e-05
CFTR,PRKAR1B,4.562287543726623e-05
PLK1,UBE2C,5.005359783705015e-05
DDX20,SEC13,5.3177520161141023e-05
CDCA8,KIF14,5.3455580125299e-05
EEF1A1,RPS24,5.3864515899849145e-05
DDX20,LSM11,5.8767999839591405e-05
MAD2L1BP,PLK1,6.046968906162976e-05
ASPM,KIF14,6.059339165335845e-05
EZR,PRKAR1B,6.459262595646065e-05
PRKAR1B,SLC9A3R1,6.521751235669742e-05
CDC20,KIF14,6.578083584741615e-05
KIF14,TPX2,6.74871416123617e-05
DDX20,NUP188,7.267056008213038e-05
RPL7,RPS24,7.52904284207419e-05
RAF1,SCNN1B,7.602932165958373e-05
FOXM1,PLK1,7.726547433809193e-05
RPS16,WDR31,7.74034648509306e-05
RPL35,RPS24,8.173307164109853e-05
DDX20,NUP133,8.724286980511574e-05
KIF14,UBE2C,8.877643095492919e-05
RPS24,RPS6,9.100168997883304e-05
FOXM1,KIF14,9.105711701944269e-05
NEK2,ZWINT,9.678279020185008e-05
RPS11,RPS24,9.86206899602917e-05
